feature,source_type,requires_proxy_validation,requires_reliability,requires_speed_adjustment,n_rows,n_participants,severity_beta,severity_ci_low,severity_ci_high,severity_q,speed_adjusted_beta,speed_adjusted_q,task_interaction_p,site_interaction_p,bootstrap_status,bootstrap_n,bootstrap_same_sign_fraction,bootstrap_median,bootstrap_ci_low,bootstrap_ci_high,analytical_validation_status,reliability_status,reliability_n_participants,icc_best,leave_site_out_sign_consistency,site_robustness_status,task_robustness_status,severity_status,speed_status,state_status,context_status,external_replication_status,trait_status,reason
gait_speed,pkmas_reference,False,True,False,124,62,-0.3075832834923942,-0.46382668360651147,-0.151339883378277,0.000418454337709989,-0.3075832834923942,0.001255363013129967,0.02521622712877433,0.00030713611180284054,PASS,2000,0.997,-0.30075896015114423,-0.4545578279294208,-0.11098521623469722,NOT_APPLICABLE,NOT_ESTIMABLE,,,1.0,PASS,FAIL,PASS,NOT_APPLICABLE,ADJUSTED,FAIL,LIMITED_TRANSLATION_CHECK,FAIL,speed;task;reliability
cadence,pkmas_reference,False,True,True,124,62,-0.09714541571633789,-0.32372955461394504,0.12943872318126923,0.40073311584455895,0.12821089516378106,0.31611670023698407,0.4647408752266008,2.0686404911306424e-05,FAIL,2000,0.743,-0.09017288259714518,-0.30627659084568165,0.18204641486167292,NOT_APPLICABLE,PASS,41.0,0.7152387121667311,0.5,FAIL,PASS,FAIL,FAIL,ADJUSTED,FAIL,NOT_ESTIMABLE,FAIL,severity;bootstrap;speed;site
step_length_mean,pkmas_reference,False,True,True,124,62,-0.36727753780735733,-0.5113298931433656,-0.22322518247134898,3.200164948086017e-06,-0.12772171062739462,0.08215159312527356,0.006672168701587931,0.3831726105881226,PASS,2000,1.0,-0.36378973319289654,-0.5070539885161518,-0.20719663061138552,NOT_APPLICABLE,NOT_ESTIMABLE,,,1.0,PASS,FAIL,PASS,PASS,ADJUSTED,FAIL,NOT_ESTIMABLE,FAIL,task;reliability
stride_length_mean,pkmas_reference,False,True,True,124,62,-0.37534736957387915,-0.5194531974473531,-0.23124154170040517,3.200164948086017e-06,-0.14257062716293695,0.05348834239085132,0.007975209222367028,0.43897332932384103,PASS,2000,1.0,-0.3725871529833894,-0.5287750835820405,-0.20895470021374535,NOT_APPLICABLE,NOT_ESTIMABLE,,,1.0,PASS,FAIL,PASS,PASS,ADJUSTED,FAIL,NOT_ESTIMABLE,FAIL,task;reliability
step_time_mean,pkmas_reference,False,True,True,124,62,0.16385378064256872,-0.07271273941341111,0.40042030069854856,0.20953369186355258,-0.011474483650018326,0.9062114784711405,0.09112367211338904,5.112182439797819e-06,PASS,2000,0.849,0.14989379845389603,-0.1303766817204485,0.3728428457645267,NOT_APPLICABLE,PASS,41.0,0.7106044453293736,0.5,FAIL,PASS,FAIL,FAIL,ADJUSTED,FAIL,NOT_ESTIMABLE,FAIL,severity;speed;site
stride_time_mean,pkmas_reference,False,True,True,124,62,0.15815496152865238,-0.07862399246911919,0.394933915526424,0.20953369186355258,-0.011450503059688467,0.9062114784711405,0.12304853646860929,5.152211818976452e-06,PASS,2000,0.8505,0.14604854034677006,-0.1495217700639098,0.3694616445336625,NOT_APPLICABLE,PASS,41.0,0.678633024627343,0.5,FAIL,PASS,FAIL,FAIL,ADJUSTED,FAIL,NOT_ESTIMABLE,FAIL,severity;speed;site
step_time_cv,pkmas_reference,False,True,True,124,62,0.452657324191998,0.1299516574422378,0.7753629909417582,0.013478624704972198,0.3644271530405182,0.04544930857382705,0.07231137009196618,0.4063637283842386,PASS,2000,0.998,0.43941889179931415,0.0939881404396204,0.7395492714001306,NOT_APPLICABLE,FAIL,41.0,0.14128976341893382,1.0,PASS,PASS,PASS,PASS,ADJUSTED,PASS,NOT_ESTIMABLE,FAIL,reliability
stride_time_cv,pkmas_reference,False,True,True,124,62,0.34746904747916,0.023763451303073613,0.6711746436552464,0.048663803472334566,0.2867520760764503,0.08215159312527356,0.0558253512105665,0.14253130011612872,PASS,2000,0.985,0.338143967230488,0.01257324982174702,0.6411391121713282,NOT_APPLICABLE,FAIL,41.0,0.18117929422572784,1.0,PASS,PASS,PASS,PASS,ADJUSTED,PASS,NOT_ESTIMABLE,FAIL,reliability
stance_fraction,pkmas_reference,False,True,True,124,62,0.2766238423535743,0.07289903468256587,0.4803486500245827,0.013478624704972198,0.058877947194313704,0.5157739533078671,0.32328767806954944,0.288433629861751,PASS,2000,0.989,0.2701425996583246,0.04424123596317054,0.4825342798460405,NOT_APPLICABLE,NOT_ESTIMABLE,,,1.0,PASS,PASS,PASS,PASS,ADJUSTED,PASS,NOT_ESTIMABLE,INCOMPLETE,reliability
swing_fraction,pkmas_reference,False,True,True,124,62,-0.2766238423535745,-0.48034865002458305,-0.07289903468256598,0.013478624704972198,-0.05887794719431392,0.5157739533078671,0.32328767806955205,0.28843362986174864,PASS,2000,0.991,-0.2690996147971111,-0.4723308706795811,-0.03750990341132236,NOT_APPLICABLE,NOT_ESTIMABLE,,,1.0,PASS,PASS,PASS,PASS,ADJUSTED,PASS,NOT_ESTIMABLE,INCOMPLETE,reliability
double_support_fraction,pkmas_reference,False,True,True,124,62,0.2895008062609655,0.07362851297198544,0.5053730995499456,0.013478624704972198,0.07275840539125732,0.5157739533078671,0.6574219445960545,0.23473595082053325,PASS,2000,0.99,0.2770709120832968,0.037610471184482214,0.4850699500162118,NOT_APPLICABLE,NOT_ESTIMABLE,,,1.0,PASS,PASS,PASS,PASS,ADJUSTED,PASS,NOT_ESTIMABLE,INCOMPLETE,reliability
